dataset,seed,features,weighted,uniform_l2,cosine,logistic,n_test,heterogeneity,weighted_minus_cosine,weighted_minus_uniform,weighted_minus_logistic
credit,0,23,0.639455103803843,0.639990737083965,0.6218201662261245,0.667627656577388,6000.0,7.3766843896424055,0.0176349375777185,-0.000535633280122072,-0.028172552773545023
credit,1,23,0.6426230243130582,0.6302362124220154,0.6110278369655823,0.6724983474628818,6000.0,6.982168880844394,0.031595187347475906,0.012386811891042737,-0.029875323149823663
credit,2,23,0.6478659089695957,0.6384560021970398,0.625020903647128,0.675931464097089,6000.0,7.4950468406487785,0.022845005322467693,0.009409906772555932,-0.028065555127493313
credit,3,23,0.6361106008945874,0.6253937424680349,0.6093998923734303,0.6672790877575825,6000.0,7.412569578711907,0.02671070852115709,0.010716858426552456,-0.031168486862995115
credit,4,23,0.6402972970314321,0.636706626968148,0.6214013676024674,0.6600091339060623,6000.0,7.333352237285964,0.018895929428964675,0.0035906700632841737,-0.019711836874630184
credit,5,23,0.6469351020170548,0.6290264214036576,0.6168424776945789,0.6554121860562474,6000.0,6.885140485936778,0.030092624322475947,0.017908680613397232,-0.008477084039192562
credit,6,23,0.65009383056572,0.6514716570734314,0.6420000674077107,0.6763640506615712,6000.0,7.369431147662702,0.00809376315800936,-0.0013778265077113439,-0.026270220095851227
credit,7,23,0.6488518676854369,0.6458152148233749,0.631682333583989,0.6807929630220328,6000.0,7.4046532165043955,0.017169534101447947,0.003036652862062006,-0.03194109533659595
credit,8,23,0.6352736486971364,0.6297202531627197,0.612205456122015,0.6657345158602441,6000.0,7.378203185264007,0.023068192575121382,0.005553395534416694,-0.030460867163107697
credit,9,23,0.6557693017867398,0.6280030497957529,0.6108322255945787,0.6693212349931165,6000.0,6.8997344010457065,0.04493707619216103,0.027766251990986812,-0.01355193320637671
credit,10,23,0.6364499777538428,0.6233141823404377,0.6074135419510598,0.6708185569879783,6000.0,7.448240550474175,0.029036435802783034,0.013135795413405149,-0.0343685792341355
credit,11,23,0.6482938995538029,0.6261611099114975,0.6169547163707688,0.6708986238022432,6000.0,7.407699043068943,0.03133918318303408,0.02213278964230536,-0.02260472424844029
