dataset,target_heterogeneity,measured_heterogeneity,seed,draw,weighted,uniform_l2,gain
credit,0.0,6.219465596211901,0,0,0.6460613819774035,0.6380555874944829,0.008005794482920603
credit,0.0,6.224296176192881,0,1,0.6500898796353081,0.639455748853706,0.010634130781602025
credit,0.0,6.231004773465298,0,2,0.6500852836550332,0.6399303442905266,0.01015493936450651
credit,0.0,6.187302967492466,0,3,0.6465451693747741,0.6357810610457452,0.010764108329028965
credit,0.0,6.208090359117971,0,4,0.6455309897274197,0.6369252182405265,0.008605771486893232
credit,0.0,6.233227655457821,0,5,0.6464335757484474,0.6375160032839489,0.008917572464498535
credit,0.0,6.215666582932896,0,6,0.6473873626023634,0.641772284174782,0.005615078427581355
credit,0.0,6.1992201940616525,0,7,0.6457915898721367,0.6351948719825979,0.010596717889538754
credit,0.0,6.2039516004255475,0,8,0.6488341288142,0.6395023537063195,0.009331775107880524
credit,0.0,6.174888523307402,0,9,0.6512438738405026,0.6371904143655185,0.014053459474984153
credit,0.0,6.194507879132166,0,10,0.6464289797681724,0.6381021923470962,0.008326787421076176
credit,0.0,6.216661231632315,0,11,0.641772284174782,0.6392371575813275,0.002535126593454562
credit,0.0,6.196895871985867,0,12,0.643526255383949,0.6373532088247336,0.006173046559215467
credit,0.0,6.199147402114635,0,13,0.6443822365523633,0.6362182435905024,0.008163992961860878
credit,0.0,6.205324961018881,0,14,0.6444938301786901,0.6405677341865623,0.003926095992127787
credit,0.0,6.186543307346283,0,15,0.6472383560839732,0.6399395362510767,0.007298819832896486
credit,0.0,6.191555537364935,0,16,0.6455309897274197,0.6395115456668694,0.0060194440605503274
credit,0.0,6.193941107872879,0,17,0.6501410804681965,0.6401955404155186,0.009945540052677893
credit,0.0,6.218184401536008,0,18,0.6450150304681239,0.6358552417800086,0.009159788688115289
credit,0.0,6.196554035053857,0,19,0.6437028377839893,0.6368740174076382,0.00682882037635113
credit,0.0,6.080280475362946,1,0,0.645307802474766,0.6332971352851791,0.012010667189586988
credit,0.0,6.060328652878835,1,1,0.6413863024629133,0.6305106005075575,0.01087570195535581
credit,0.0,6.052429075332759,1,2,0.6427306670089732,0.6314735793220236,0.011257087686949552
credit,0.0,6.064900522571144,1,3,0.6468615663326545,0.6351344791891593,0.01172708714349513
credit,0.0,6.072768235091073,1,4,0.6459497883510767,0.6312083831970317,0.014741405154045095
credit,0.0,6.066417801799423,1,5,0.6434842465116106,0.6307712006522743,0.012713045859336303
credit,0.0,6.0566695980628085,1,6,0.6476335297563921,0.6291570440009475,0.018476485755444583
credit,0.0,6.079430536046908,1,7,0.6479269468128973,0.6336181282233344,0.0143088185895629
credit,0.0,6.067363125874335,1,8,0.6467591646668778,0.6337343178299362,0.013024846836941606
credit,0.0,6.058315340712161,1,9,0.6425540846089328,0.6376000210286256,0.004954063580307255
credit,0.0,6.042399223533278,1,10,0.6429446623010766,0.6347018926246772,0.008242769676399364
credit,0.0,6.049139638206144,1,11,0.6496756769919261,0.6349158879167809,0.014759789075145191
credit,0.0,6.068619026931897,1,12,0.6502480781142483,0.6309385910917646,0.019309487022483696
credit,0.0,6.073935425286465,1,13,0.647624337795842,0.6319573667193941,0.01566697107644799
credit,0.0,6.04249287221859,1,14,0.6450892112023874,0.6321713620114977,0.012917849190889674
credit,0.0,6.04408328913711,1,15,0.6468195574603162,0.6325481517628164,0.01427140569749974
