dataset,seed,features,weighted,uniform_l2,cosine,logistic,n_test,heterogeneity,weighted_minus_cosine
credit,0,23,0.6318070701012777,0.6201738377128725,0.6224765850931234,0.6745969365614424,6000.0,7.0702419958211316,0.009330485008154255
credit,1,23,0.6364585246645297,0.613837996694442,0.6154987581983822,0.6864920591942908,6000.0,7.06130892037527,0.0209597664661475
credit,2,23,0.6327792408762938,0.6255749208483503,0.625947114619394,0.6829473489337567,6000.0,7.124154893284983,0.006832126256899773
credit,3,23,0.6275553851907194,0.6095259189904454,0.6106516922641266,0.6819889660995657,6000.0,7.106179117492495,0.016903692926592773
credit,4,23,0.6328396336697322,0.6249605108536896,0.6259792864813192,0.6718996605586358,6000.0,7.107829979439401,0.006860347188412996
credit,5,23,0.6403754286961075,0.6154009525128805,0.6159917375563028,0.6784908606916451,6000.0,6.963503058117411,0.024383691139804764
credit,6,23,0.6464788905013343,0.640242145268132,0.6419587035852354,0.6879152004548892,6000.0,7.0274021850506045,0.0045201869160989006
credit,7,23,0.6459859111434137,0.6347064886049523,0.6346506917917889,0.6958514101838215,6000.0,7.108619909048165,0.011335219351624848
credit,8,23,0.6250760554104282,0.6134526600324364,0.61516921834954,0.6728573983429637,6000.0,7.065691619719412,0.00990683706088824
credit,9,23,0.6437947573894897,0.6035898476247088,0.6073531491576213,0.6776440714837808,6000.0,6.9490076857497325,0.03644160823186837
credit,10,23,0.6307042767289714,0.607967559152282,0.6078605615062301,0.6863936084589259,6000.0,7.137534807544238,0.022843715222741312
credit,11,23,0.6332354523920142,0.6128894508706642,0.613424439100923,0.6800905843522836,6000.0,7.079250431992005,0.01981101329109114
credit,12,23,0.6391242738552744,0.6173597270536009,0.6185924979733339,0.6794394065154229,6000.0,7.101197548078973,0.02053177588194044
credit,13,23,0.6362629132935262,0.6137730079207285,0.6151127764865134,0.6727044408941616,6000.0,7.097634493904166,0.02115013680701283
credit,14,23,0.6384586630277254,0.6115444412747411,0.6136935861563269,0.6814539778693067,6000.0,7.117653157659318,0.024765076871398506
credit,15,23,0.6338721972381868,0.6155873719233339,0.6169317364693938,0.6803702134679639,6000.0,7.067178623941027,0.016940460768792964
credit,16,23,0.623303055230298,0.6250675084997415,0.6277562375918612,0.6781882516745897,6000.0,7.111523162629834,-0.004453182361563113
credit,17,23,0.6430090060249269,0.6144478107088276,0.615466586336457,0.6872784556087166,6000.0,7.04246093134737,0.027542419688469932
credit,18,23,0.6352769545776851,0.6209970019694985,0.6223925673484467,0.6861474413048971,6000.0,7.11910318091187,0.012884387229238348
credit,19,23,0.6433155659723941,0.6250163076668531,0.6271096557352753,0.6803098206745255,6000.0,7.100721588591489,0.016205910237118815
coil2000,0,85,0.6496086105675147,0.6293868232224397,0.6303000652315721,0.6529680365296804,1165.0,4.890729193894493,0.019308545335942617
coil2000,1,85,0.643672537508154,0.6476190476190475,0.6480756686236138,0.6765166340508806,1165.0,4.9184469044992,-0.0044031311154597574
