dataset,seed,draw,target_h,measured_h,reliability_gain
credit,0,0,0.0,0.04040459452451419,-0.0007048024994611435
credit,0,1,0.0,0.04073033178533476,0.0013333258968044603
credit,0,2,0.0,0.041027800273262964,-0.00017412960623253149
credit,0,3,0.0,0.04205662841249382,-0.001477600026509096
credit,0,4,0.0,0.04115261873506434,0.0001442741297046357
credit,0,5,0.0,0.045512519816893186,0.0
credit,0,6,0.0,0.04329951197229673,0.0004245383145828896
credit,0,7,0.0,0.03999845547893037,-0.002008272919737708
credit,0,8,0.0,0.04131029806368778,-0.0007048024994611435
credit,0,9,0.0,0.04226917472674802,-0.0007048024994611435
credit,0,10,0.0,0.041485095558769274,-0.0013034704202765646
credit,0,11,0.0,0.039829495752668045,0.0002802641848782539
credit,0,12,0.0,0.042183917590263624,-0.0002122691572914448
credit,0,13,0.0,0.04247614669640569,0.0003863987635239763
credit,0,14,0.0,0.0403304053784791,-0.001757864211387239
credit,0,15,0.0,0.03859931453503353,-0.0005986679208153101
credit,0,16,0.0,0.04135237286389094,-0.0006666629484022302
credit,0,17,0.0,0.042742151767568036,-0.00017412960623253149
credit,0,18,0.0,0.0432536639943731,3.813955105891331e-05
credit,0,19,0.0,0.04196502567932798,0.0005605283697563967
credit,0,0,0.5,0.03925312703773917,-0.0009850666843393974
credit,0,1,0.5,0.03978785622879165,0.0013333258968044603
credit,0,2,0.5,0.042271579421488584,-0.00017412960623253149
credit,0,3,0.5,0.042757329753832916,-0.00045439379111078537
credit,0,4,0.5,0.041701645307443906,3.813955105891331e-05
credit,0,5,0.5,0.04621973939754119,-0.0010232062353983107
credit,0,6,0.5,0.0444171041922144,0.0002122691572914448
credit,0,7,0.5,0.03930365961999037,-0.002220542077029153
credit,0,8,0.5,0.040405551967983955,-0.0003184037359371672
credit,0,9,0.5,0.04212320709493138,-0.0007727975270479526
credit,0,10,0.5,0.04084702433528251,-0.002008272919737708
credit,0,11,0.5,0.03815447021116973,0.0002802641848782539
credit,0,12,0.5,0.041943308718430286,-0.0019021383410919857
credit,0,13,0.5,0.042081186087575786,0.0
credit,0,14,0.5,0.040007387361220746,-0.001409604998922176
credit,0,15,0.5,0.03929872992591903,-0.0006666629484021191
credit,0,16,0.5,0.041211976291642076,-0.0003184037359371672
credit,0,17,0.5,0.04263785773033454,-0.0005986679208154211
credit,0,18,0.5,0.044530240747477905,-0.0006666629484022302
credit,0,19,0.5,0.042128664267847685,-0.00025040870835046913
credit,0,0,1.0,0.03811613637591581,-0.0013714654478633737
credit,0,1,1.0,0.038947710871766204,0.0001061345786457224
credit,0,2,1.0,0.043530784311447135,0.0007727975270479526
credit,0,3,1.0,0.04338554256358838,0.00017412960623253149
credit,0,4,1.0,0.04216448021004422,-0.000878932105693675
credit,0,5,1.0,0.04707353054132676,-0.0003184037359371672
credit,0,6,1.0,0.04562755112706553,-0.0004925333421695877
credit,0,7,1.0,0.03880486271996791,-0.002220542077029042
credit,0,8,1.0,0.03941727991429417,-0.0003863987635239763
credit,0,9,1.0,0.04187184910638871,-0.00017412960623253149
credit,0,10,1.0,0.040286188931564465,-0.0006666629484022302
credit,0,11,1.0,0.036313515899004334,-0.0008407925546347617
credit,0,12,1.0,0.041658505609270424,-0.002356532132202771
credit,0,13,1.0,0.04178530014602993,-0.0007727975270479526
credit,0,14,1.0,0.039712187181838124,-0.0008109370781067549
credit,0,15,1.0,0.04026294839076346,-0.0010912012629850087
credit,0,16,1.0,0.041091223637578764,0.0002504087083503581
credit,0,17,1.0,0.04253948728200055,-0.0001442741297046357
credit,0,18,1.0,0.04570903810932576,-0.0004925333421696987
credit,0,19,1.0,0.04226377819579145,-0.0003184037359372782
